question_num,id,trialnum,question,tot,rt,test_trialnum,subj_answer,correct_answer,recall,mistake,recall_notChecked
51,2,56,Who was the first ruler of the Holy Roman Empire?,no,1.310937768,94,charlemagne,CHARLEMAGNE,C,0,C
78,2,57,What country suffered the slaughter of half a million Tutsis and Hutus in 1994?,N/A,0,140,rwanda,RWANDA,C,0,C
8,2,58,What is the unit of electrical power that refers to the current of one ampere at one volt?,N/A,0,68,watt,WATT,C,0,C
30,2,59,What is the name of the organ that produces insulin?,no,1.76172361,14,pancreas,PANCREAS,C,0,C
68,2,60,What Peanuts character clings to a security blanket?,N/A,0,80,,LINUS,I,0,I
131,2,61,What staple crop does half the world's population depend on?,N/A,0,88,rice,RICE,C,0,C
77,2,62,What brand name drug is most often prescribed to treat attention deficit disorder?,N/A,0,137,adderall,RITALIN,I,0,I
6,2,63,In the bible whose name was changed to Israel?,N/A,0,91,david,JACOB,I,0,I
129,2,64,What was Cinderella's coach made from?,N/A,0,20,pumpkins,PUMPKIN,C,0,I
41,2,65,What is the name of the furry animal that attacks cobra snakes?,N/A,0,150,mongoose,MONGOOSE,C,0,C
121,2,66,What is the name for the astronomical bodies that enter the earth's atmosphere?,N/A,0,21,meteor,METEORS,C,0,I
73,2,67,What country has the ancient ruins of Machu Picchu?,N/A,0,72,chile,PERU,I,0,I
56,2,68,What is the last name of the commander who lost the battle of the Little Bighorn River?,no,1.425795757,99,,CUSTER,I,0,I
2,2,69,What is the name of the collar bone?,no,1.339450694,93,clavicle,CLAVICLE,C,0,C
84,2,70,What's heaven to fallen Norse warriors?,N/A,0,111,valhalla,VALHALLA,C,0,C
87,2,71,What is the more common name for a mandrill?,yes,2.869542865,29,baboon,BABOON,C,0,C
134,2,72,What country's civil war was described as a 'rehearsal for World War II'?,N/A,0,54,austriahungary,SPAIN,I,0,I
38,2,73,What is the last name of the author who wrote Brave New World?,no,1.150332641,57,huxley,HUXLEY,C,0,C
124,2,74,What major city is on an island in the St. Lawrence River?,no,0.581362575,64,,MONTREAL,I,0,I
72,2,75,What colorless gas is essential in the production of fertilizers and light bulbs?,N/A,0,28,neon,NITROGEN,I,0,I
61,2,76,What is the last name of the author of the James Bond novels?,N/A,0,62,irving,FLEMING,I,0,I
23,2,77,What country gave the world the word 'geyser' for a hot spring?,N/A,0,76,usa,ICELAND,I,0,I
47,2,78,In what ancient city were the Hanging Gardens located?,N/A,0,69,babylon,BABYLON,C,0,C
132,2,79,What was the last name of the woman who designed and sewed the first American flag?,N/A,0,65,,ROSS,I,0,I
111,2,80,What is the name for a medical doctor who specializes in diseases of the skin?,yes,2.638071988,134,dermatologist,DERMATOLOGIST,C,0,C
14,2,81,Who was the title character in 'The Merchant of Venice'?,yes,2.722656939,95,antonio,ANTONIO,C,0,C
127,2,82,What is the name of Socrates' most famous student?,N/A,0,26,plato,PLATO,C,0,C
75,2,83,What is the world's largest snake?,N/A,0,75,anaconda,PYTHON,I,0,I
91,2,84,What is the last name of the man who supposedly killed Jesse James?,yes,2.141778864,70,,FORD,I,0,I
43,2,85,What is the last name of the second U.S. president?,N/A,0,118,adams,ADAMS,C,0,C
27,2,86,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,yes,2.480690392,123,nautilus,NAUTILUS,C,0,C
33,2,87,What is the name of the crime in which a person purposely betrays their country?,N/A,0,82,treaspm,TREASON,I,0,I
70,2,88,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,N/A,0,78,jefferson manor,MONTICELLO,I,0,I
55,2,89,What is the last name of the scientist who discovered radium?,yes,4.063840884,130,marie curie,CURIE,C,0,I
85,2,90,What animals travel in pods? ,N/A,0,97,dolphins,WHALES,I,0,I
76,2,91,What is the last name of the man who rode horseback in 1775 to warn that the British were coming?,no,0.602067739,114,revere,REVERE,C,0,C
113,2,92,What is the last name of the villainous captain in the story Peter Pan?,N/A,0,40,hook,HOOK,C,0,C
100,2,93,What kind of animal was befriended by the escaped slave Androcles in an Aesop Fable?,yes,2.247514439,37,lion,LION,C,0,C
147,2,94,What is the name of the constellation that looks like a flying horse?,N/A,0,56,pegasus,PEGASUS,C,0,C
126,2,95,What is the last name of the artist who painted Guernica?,N/A,0,32,picasso,PICASSO,C,0,C
59,2,96,What is the name of a female sheep?,yes,4.488690028,116,ewe,EWE,C,0,C
145,2,97,What is the last name of the man who invented dynamite?,N/A,0,15,nobel,NOBEL,C,0,C
45,2,98,What is the last name of the actress who received the Best Actress Award for the movie 'Mary Poppins'?,yes,2.450317004,12,julie andrews,ANDREWS,C,0,I
79,2,99,What spice do chefs pay the most for?,N/A,0,48,saffron,SAFFRON,C,0,C
80,2,100,What is the capital of Chile?,no,1.766030398,11,,SANTIAGO,I,0,I
141,2,101,What is the name of the captain of the Pequod in the book Moby Dick?,yes,2.293996319,128,ahab,AHAB,C,0,C
112,2,102,What is the first book of the Old Testament?,N/A,0,35,deuteronomy,GENESIS,I,0,I
83,2,103,What is the name of the mountain range that separates Asia from Europe?,no,2.304871703,101,ural,URAL,C,0,C
63,2,104,What is the last name of the author who wrote 'The Old Man and the Sea'?,N/A,0,126,lovecraft,HEMINGWAY,I,0,I
7,2,105,What is the last name of the man who first studied genetic inheritance in plants?,yes,1.978118993,117,mendel,MENDEL,C,0,C
19,2,106,What is May's birthstone?,no,1.541503916,125,emerald,EMERALD,C,0,C
57,2,107,What is the last name of the man who invented the phonograph?,no,1.395902403,83,bell,EDISON,I,0,I
66,2,108,Over which river is the George Washington Bridge?,yes,5.814379423,79,hudson,HUDSON,C,0,C
26,2,109,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,no,1.906303975,8,monitor,MONITOR,C,0,C
82,2,110,What is the last name of the Russian novelist Teddy Roosevelt called 'a sexual and moral pervert'?,N/A,0,98,tolstoy,TOLSTOY,C,0,C
10,2,111,What is the last name of the man who wrote Canterbury Tales?,N/A,0,136,grim,CHAUCER,I,0,I
108,2,112,Who was The Friendly Ghost?,N/A,0,30,caspar,CASPER,C,0,I
1,2,113,What is the name of the palace in London in which the monarch of England resides?,N/A,0,141,birmingham,BUCKINGHAM,I,0,I
146,2,114,What country joins Central America to South America?,N/A,0,66,panama,PANAMA,C,0,C
92,2,115,What is the last name of the man who showed that lightning is electricity?,N/A,0,36,edison,FRANKLIN,I,0,I
58,2,116,What's the northernmost Baltic republic?,no,2.972642686,104,estonia,ESTONIA,C,0,C
39,2,117,What country's capital is Tripoli?,no,2.958293909,6,libya,LIBYA,C,0,C
24,2,118,What is the capital of Jamaica?,no,1.094794918,46,,KINGSTON,I,0,I
99,2,119,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,N/A,0,31,washington,LINCOLN,I,0,I
116,2,120,What is the last name of the person who defined 'The Beat Generation'?,N/A,0,107,kerouac,KEROUAC,C,0,C
36,2,121,What sitcom received a record 117 Emmy nominations?,no,0.985057502,138,cheers,CHEERS,C,0,C
119,2,122,What is the name of the ship that carried the pilgrims to America in 1620?,N/A,0,19,mayflower,MAYFLOWER,C,0,C
130,2,123,What's the 'Q' short for in Q-Tips?,no,2.461164123,74,quality,QUALITY,C,0,C
94,2,124,What were raced in Greek and Roman hippodromes? ,no,1.427589045,124,horses,HORSES,C,0,C
110,2,125,What is the capital of Denmark?,N/A,0,1,kiel,COPENHAGEN,I,0,I
95,2,126,What is the last name of the discoverer of the vaccination for smallpox?,yes,1.964464004,132,,JENNER,I,0,I
104,2,127,What is the name of the process by which plants make their food?,N/A,0,2,photosynthesis,PHOTOSYNTHESIS,C,0,C
0,2,128,What is the name of the river that runs through Rome?,yes,5.141092274,108,tiber,TIBER,C,0,C
49,2,129,What is the last name of the criminal known as Scarface?,no,1.957913767,122,al capone,CAPONE,C,0,I
149,2,130,What is the last name of the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,no,1.362826282,38,,PRESLEY,I,0,I
148,2,131,What country's ships transported four million African slaves to Brazil?,N/A,0,27,spain,PORTUGAL,I,0,I
137,2,132,What liquor packs the punch in an Aztec Punch?,no,1.00954276,106,tequila,TEQUILA,C,0,C
128,2,133,What is the name of a dried plum?,N/A,0,9,prune,PRUNE,C,0,C
21,2,134,What is the last name of the first U.S. President to die in office?,N/A,0,59,adams,HARRISON,I,0,I
31,2,135,What was the capital of Czechoslovakia?,no,1.717674722,4,prague,PRAGUE,C,0,C
32,2,136,What is the capital of Bulgaria?,N/A,0,23,geneva,SOPHIA,I,0,I
4,2,137,What was the name of the first Apollo lunar module that landed the first man on the moon?,N/A,0,129,apollo 1,EAGLE,I,0,I
122,2,138,Which dynasty was in power throughout the 1500's in China?,N/A,0,43,ming,MING,C,0,C
90,2,139,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,N/A,0,143,abraham,DAVID,I,0,I
125,2,140,What is the name of the American who starred in the 1936 Olympics?,no,1.535126037,147,owens,OWENS,C,0,C
53,2,141,What is the northernmost country in continental South America?,no,1.147289054,85,colombia,COLOMBIA,C,0,C
114,2,142,What company invented the microprocessor in 1971?,N/A,0,51,microsoft,INTEL,I,0,I
98,2,143,Of which country is Nairobi the capital?,N/A,0,135,niger,KENYA,I,0,I
29,2,144,What is the last name of the man who assassinated President John Kennedy?,no,3.886679173,61,booth,OSWALD,I,0,I
25,2,145,What is the name of the project which developed the atomic bomb during World War II?,N/A,0,115,manhatten,MANHATTAN,C,0,I
22,2,146,Of which country is Budapest the capital?,N/A,0,34,austria,HUNGARY,I,0,I
37,2,147,What is the last name of the boy in the book Treasure Island?,no,1.341604559,87,hawkins,HAWKINS,C,0,C
123,2,148,What is the last name of the man who was president directly after James Madison?,no,2.177223194,7,monroe,MONROE,C,0,C
15,2,149,What is the last name of the male star of the movie Casablanca?,no,1.23776554,47,,BOGART,I,0,I
117,2,150,What human organ (or organs) does a nephrologist treat?,N/A,0,52,kidneys,KIDNEY,C,0,I
118,3,1,What is the last name of the man who began the Protestant reformation in Germany?,N/A,0,81,luther,LUTHER,C,0,C
122,3,2,Which dynasty was in power throughout the 1500's in China?,no,3.933861306,98,ming,MING,C,0,C
71,3,3,What is the name of the British admiral who won the Battle of Trafalgar?,yes,2.001908021,75,nelson,NELSON,C,0,C
80,3,4,What is the capital of Chile?,N/A,0,13,santiago,SANTIAGO,C,0,C
119,3,5,What is the name of the ship that carried the pilgrims to America in 1620?,N/A,0,15,mayflower,MAYFLOWER,C,0,C
85,3,6,What animals travel in pods? ,N/A,0,97,whales,WHALES,C,0,C
76,3,7,What is the last name of the man who rode horseback in 1775 to warn that the British were coming?,N/A,0,4,revere,REVERE,C,0,C
75,3,8,What is the world's largest snake?,N/A,0,55,anaconda,PYTHON,I,0,I
109,3,9,What is the name of the kind of cat that spoke to Alice in the story Alice's adventures in Wonderland?,N/A,0,34,cheshire,CHESHIRE,C,0,C
117,3,10,What human organ (or organs) does a nephrologist treat?,no,1.76295594,9,liver,KIDNEY,I,0,I
21,3,11,What is the last name of the first U.S. President to die in office?,N/A,0,29,harrison,HARRISON,C,0,C
94,3,12,What were raced in Greek and Roman hippodromes? ,no,0.934688298,94,chariots,HORSES,I,0,I
40,3,13,What's the largest gland in the human body?,no,2.036821426,121,liver,LIVER,C,0,C
87,3,14,What is the more common name for a mandrill?,N/A,0,69,lily,BABOON,I,0,I
10,3,15,What is the last name of the man who wrote Canterbury Tales?,no,0.74341987,133,chaucer,CHAUCER,C,0,C
128,3,16,What is the name of a dried plum?,N/A,0,18,prune,PRUNE,C,0,C
139,3,17,In which country is Angel Falls located?,N/A,0,57,venzuela,VENEZUELA,C,0,I
138,3,18,What is the largest city in Canada?,N/A,0,45,toronto,TORONTO,C,0,C
6,3,19,In the bible whose name was changed to Israel?,N/A,0,44,jacob,JACOB,C,0,C
42,3,20,In addition to the Kentucky Derby and the Belmont Stakes what horse race comprises the Triple Crown?,no,0.848646156,115,preakness,PREAKNESS,C,0,C
39,3,21,What country's capital is Tripoli?,N/A,0,123,tunisia,LIBYA,I,0,I
98,3,22,Of which country is Nairobi the capital?,N/A,0,62,kenya,KENYA,C,0,C
44,3,23,What is the last name of the author of Little Women?,yes,1.936511062,67,alcott,ALCOTT,C,0,C
111,3,24,What is the name for a medical doctor who specializes in diseases of the skin?,no,2.020336659,132,dermatologist,DERMATOLOGIST,C,0,C
55,3,25,What is the last name of the scientist who discovered radium?,yes,2.588131872,144,curie,CURIE,C,0,C
69,3,26,What is the highest mountain in the U.S.?,N/A,0,119,mckinley,MCKINLEY,C,0,C
18,3,27,What is the capital of Delaware?,N/A,0,25,dover,DOVER,C,0,C
50,3,28,The general named Hannibal was from what city?,N/A,0,146,carthage,CARTHAGE,C,0,C
142,3,29,Which big cat usually carries its dead prey up into a tree to eat it?,N/A,0,56,leopard,LEOPARD,C,0,C
93,3,30,What island is the largest in the world excluding Australia?,no,4.781810429,95,antarctica,GREENLAND,I,0,I
26,3,31,What was the name of the Union Ironclad ship that fought the Confederate ironclad Merrimack?,N/A,0,77,monitor,MONITOR,C,0,C
84,3,32,What's heaven to fallen Norse warriors?,N/A,0,60,valhalla,VALHALLA,C,0,C
14,3,33,Who was the title character in 'The Merchant of Venice'?,no,1.531213772,32,antonio,ANTONIO,C,0,C
136,3,34,According to the FDA what's the only fish that produces real caviar?,N/A,0,126,salmon,STURGEON,I,0,I
82,3,35,What is the last name of the Russian novelist Teddy Roosevelt called 'a sexual and moral pervert'?,N/A,0,17,dostoevsky,TOLSTOY,I,0,I
17,3,36,What is the last name of the author who wrote Oliver Twist?,yes,2.829853417,76,dickens,DICKENS,C,0,C
74,3,37,In which sport does a rider on horseback hit a ball with a mallet?,N/A,0,147,polo,POLO,C,0,C
129,3,38,What was Cinderella's coach made from?,N/A,0,70,pumpkin,PUMPKIN,C,0,C
29,3,39,What is the last name of the man who assassinated President John Kennedy?,yes,2.249970768,12,oswald,OSWALD,C,0,C
96,3,40,What is the last name of the person who has graced the most Sports Illustrated covers?,N/A,0,53,jordan,JORDAN,C,0,C
67,3,41,What is the last name of the man who wrote the Star Spangled Banner?,yes,1.747383323,2,key,KEY,C,0,C
41,3,42,What is the name of the furry animal that attacks cobra snakes?,N/A,0,91,mongoose,MONGOOSE,C,0,C
56,3,43,What is the last name of the commander who lost the battle of the Little Bighorn River?,N/A,0,124,custer,CUSTER,C,0,C
79,3,44,What spice do chefs pay the most for?,N/A,0,141,saffron,SAFFRON,C,0,C
34,3,45,What is the name of the avenue that immediately follows Atlantic Avenue in the game of Monopoly?,no,2.493228652,105,ventnor,VENTNOR,C,0,C
104,3,46,What is the name of the process by which plants make their food?,N/A,0,26,photosynthesis,PHOTOSYNTHESIS,C,0,C
33,3,47,What is the name of the crime in which a person purposely betrays their country?,N/A,0,27,treason,TREASON,C,0,C
100,3,48,What kind of animal was befriended by the escaped slave Androcles in an Aesop Fable?,no,1.980436743,143,lion,LION,C,0,C
46,3,49,In what European city is the Parthenon located?,N/A,0,128,athens,ATHENS,C,0,C
36,3,50,What sitcom received a record 117 Emmy nominations?,no,1.67712209,71,cheers,CHEERS,C,0,C
47,3,51,In what ancient city were the Hanging Gardens located?,N/A,0,103,babylon,BABYLON,C,0,C
81,3,52,In what country is the Dalai Lama's palace?,N/A,0,52,china,TIBET,I,0,I
121,3,53,What is the name for the astronomical bodies that enter the earth's atmosphere?,N/A,0,14,meteorite,METEORS,C,0,I
133,3,54,What nation signed away a fourth of its European land in a 1918 Treaty?,no,1.465704392,6,russia,RUSSIA,C,1,C
144,3,55,What is the last name of the composer who wrote the opera 'Don Giovanni'?,no,2.399715366,112,mozart,MOZART,C,0,C
65,3,56,Who was the most famous Greek doctor?,yes,1.714254166,54,hippocrates,HIPPOCRATES,C,0,C
103,3,57,What is the most populous country in Africa?,yes,2.55963503,78,nigeria,NIGERIA,C,0,C
66,3,58,Over which river is the George Washington Bridge?,no,1.445532712,145,hudson,HUDSON,C,0,C
48,3,59,What is the name of the man who assassinated Abraham Lincoln?,N/A,0,11,john wilkes booth,BOOTH,C,0,I
9,3,60,What is the last name of Batman's secret identity in the Batman comics?,N/A,0,80,wayne,WAYNE,C,0,C
143,3,61,What is the Taj Majal made of?,N/A,0,68,marble,MARBLE,C,0,C
120,3,62,What city was Martin Luther King Jr. assassinated in?,N/A,0,138,memphis,MEMPHIS,C,0,C
5,3,63,What was the name of the zeppelin that exploded in Lakehurst N.J. in 1937?,no,1.70536983,130,hindenburg,HINDENBURG,C,1,C
86,3,64,What nuts are used in marzipan? ,N/A,0,84,almonds,ALMONDS,C,0,C
88,3,65,What igneous rock makes up the bulk of Devils Tower?,no,1.369517603,33,basalt,BASALT,C,1,C
2,3,66,What is the name of the collar bone?,N/A,0,61,clavical,CLAVICLE,I,0,I
72,3,67,What colorless gas is essential in the production of fertilizers and light bulbs?,N/A,0,117,methane,NITROGEN,I,0,I
0,3,68,What is the name of the river that runs through Rome?,no,0.594239318,72,tibur,TIBER,C,0,I
90,3,69,What Old Testament patriarch is mentioned in the Bible a record 1005 times?,N/A,0,21,abraham,DAVID,I,0,I
123,3,70,What is the last name of the man who was president directly after James Madison?,N/A,0,50,monroe,MONROE,C,0,C
53,3,71,What is the northernmost country in continental South America?,N/A,0,131,colombia,COLOMBIA,C,0,C
141,3,72,What is the name of the captain of the Pequod in the book Moby Dick?,yes,1.606219551,36,ahab,AHAB,C,0,C
83,3,73,What is the name of the mountain range that separates Asia from Europe?,N/A,0,149,urals,URAL,C,0,I
8,3,74,What is the unit of electrical power that refers to the current of one ampere at one volt?,N/A,0,142,ohm,WATT,I,0,I
110,3,75,What is the capital of Denmark?,N/A,0,129,copenhagen,COPENHAGEN,C,0,C
68,3,76,What Peanuts character clings to a security blanket?,yes,1.508111136,122,linus,LINUS,C,0,C
62,3,77,In which city is Michelangelo's statue of David located?,N/A,0,28,florcne,FLORENCE,I,0,I
132,3,78,What was the last name of the woman who designed and sewed the first American flag?,N/A,0,118,ross,ROSS,C,0,C
28,3,79,What is the last name of the author of the book 1984?,N/A,0,20,orwell,ORWELL,C,0,C
124,3,80,What major city is on an island in the St. Lawrence River?,N/A,0,7,montreal,MONTREAL,C,0,C
113,3,81,What is the last name of the villainous captain in the story Peter Pan?,N/A,0,135,hook,HOOK,C,0,C
1,3,82,What is the name of the palace in London in which the monarch of England resides?,yes,1.691411725,10,buckingham,BUCKINGHAM,C,0,C
30,3,83,What is the name of the organ that produces insulin?,N/A,0,89,,PANCREAS,I,0,I
146,3,84,What country joins Central America to South America?,N/A,0,148,panama,PANAMA,C,0,C
89,3,85,What is the last name of the renowned English author who had been a Polish sailor?,no,1.52306174,87,ca,CONRAD,I,0,I
112,3,86,What is the first book of the Old Testament?,N/A,0,96,genesis,GENESIS,C,0,C
27,3,87,What is the name of the submarine in Jules Vernes's 20000 Leagues under the Sea?,no,1.737317335,23,nautilus,NAUTILUS,C,0,C
135,3,88,What was the name of the mythological creature with the head of a woman and the body of a lion that killed all those unable to solve its riddle?,N/A,0,88,medus,SPHINX,I,0,I
16,3,89,What is the last name of the person who always ended her PBS cooking shows with 'Bon appetit'?,no,1.743283296,38,child,CHILD,C,0,C
13,3,90,What is the name of Batman's butler?,N/A,0,106,alfred,ALFRED,C,0,C
145,3,91,What is the last name of the man who invented dynamite?,yes,1.600592567,74,,NOBEL,I,0,I
57,3,92,What is the last name of the man who invented the phonograph?,N/A,0,31,bell,EDISON,I,0,I
11,3,93,What is the last name of the Confederate general whose last words were 'Let us cross the river and rest in the shade'?,yes,1.874213703,86,jackson,JACKSON,C,1,C
60,3,94,What is the name of the unit of measure that refers to a six-foot depth of water?,N/A,0,65,fathom,FATHOM,C,0,C
61,3,95,What is the last name of the author of the James Bond novels?,yes,1.662590852,16,,FLEMING,I,0,I
116,3,96,What is the last name of the person who defined 'The Beat Generation'?,no,1.475876061,125,kerouac,KEROUAC,C,0,C
23,3,97,What country gave the world the word 'geyser' for a hot spring?,N/A,0,82,germany,ICELAND,I,0,I
51,3,98,Who was the first ruler of the Holy Roman Empire?,no,1.103935672,22,charlemagne,CHARLEMAGNE,C,1,C
101,3,99,In which city is Heathrow Airport located?,N/A,0,73,london,LONDON,C,0,C
97,3,100,Brown vs. Board of Education the landmark civil-rights case originated in what state?,N/A,0,150,kansas,KANSAS,C,0,C
106,3,101,What is the longest river in South America?,N/A,0,116,amazon,AMAZON,C,0,C
19,3,102,What is May's birthstone?,N/A,0,49,topaz,EMERALD,I,0,I
59,3,103,What is the name of a female sheep?,N/A,0,48,ewe,EWE,C,0,C
115,3,104,Who was the leader of the Argonauts?,yes,5.624073379,107,homer,JASON,I,1,I
102,3,105,What is the capital of Russia?,N/A,0,90,moscow,MOSCOW,C,0,C
20,3,106,What is the capital of Kentucky?,no,1.833779976,113,frankfurt,FRANKFORT,C,1,I
147,3,107,What is the name of the constellation that looks like a flying horse?,N/A,0,39,pegasus,PEGASUS,C,0,C
130,3,108,What's the 'Q' short for in Q-Tips?,no,1.542191681,47,quality,QUALITY,C,0,C
63,3,109,What is the last name of the author who wrote 'The Old Man and the Sea'?,N/A,0,120,hemmingway,HEMINGWAY,C,0,I
7,3,110,What is the last name of the man who first studied genetic inheritance in plants?,N/A,0,66,mendel,MENDEL,C,0,C
149,3,111,What is the last name of the singer who recorded 'Heartbreak Hotel' and 'All Shook Up'?,no,1.361485651,92,presley,PRESLEY,C,0,C
125,3,112,What is the name of the American who starred in the 1936 Olympics?,yes,1.773472967,58,owens,OWENS,C,0,C
114,3,113,What company invented the microprocessor in 1971?,N/A,0,140,ibm,INTEL,I,0,I
91,3,114,What is the last name of the man who supposedly killed Jesse James?,no,1.572513642,40,ford,FORD,C,0,C
43,3,115,What is the last name of the second U.S. president?,N/A,0,114,adams,ADAMS,C,0,C
99,3,116,What is the last name of the president who is on the far right when you gaze at Mount Rushmore?,N/A,0,108,roosevelt,LINCOLN,I,0,I
31,3,117,What was the capital of Czechoslovakia?,N/A,0,19,prague,PRAGUE,C,0,C
131,3,118,What staple crop does half the world's population depend on?,N/A,0,93,rice,RICE,C,0,C
70,3,119,What is the name of the mansion in Virginia that was Thomas Jefferson's home?,N/A,0,46,monticello,MONTICELLO,C,0,C
